,Species,Frequency,Trees.HA,RF...,RD...,RDo...,IVI
1,Prosopis africana,33,16.5,25.8,25.8,35.1,86.7
2,Sterculia setigera,9,4.5,7,7,3.9,18
3,Vitex donina,7,3.5,5.5,5.5,6.1,17
4,Daniella oliveri,44,22,34.4,34.4,23.5,92.2
5,Anthocleista djalonensis,1,0.5,0.8,0.8,0.2,1.7
6,Parkia biglobosa,23,11.5,18,18,25.6,61.6
7,Ficus exaspirata,1,0.5,0.8,0.8,0.1,1.7
8,Azdirachta indica,2,1,1.6,1.6,0.8,3.9
9,Khaya senegalensis,4,2,3.1,3.1,2.7,9
10,Anogeissus leiocarpus,1,0.5,0.8,0.8,0.4,1.9
11,Gmelina aborea,1,0.5,0.8,0.8,0.4,2
12,Quassia undulata,1,0.5,0.8,0.8,0.3,1.8
13,Magifera indica,1,0.5,0.8,0.8,0.9,2.5
14,Total,128,64,100,100,100,300
